id;interactive;language;city;address;gps_lat;gps_lng;title;text;question;options;correct_index;reality;explanation;routes;persons;tags
SD-1001-RU;False;ru;spb;Невский проспект;59.93256;30.34827;Невский — пульс Петербурга;Невский проспект — это живая артерия города, что бьётся с XVIII века, соединяя Адмиралтейство с дальними окраинами. Здесь звенят шаги купцов, шорох платьев дам и гул карет, что несут прошлое в наши дни. Каждый дом — как страница летописи, где ветер шепчет о былой славе. Пройдись вдоль — и вдохни этот вечный ритм северной столицы.;;;;fact;Проспект спланирован как главная ось города ещё при Петре I.;RT-0001;;"архитектура;история"
QZ-005-RU;True;ru;spb;Заячий остров, Петропавловская крепость, д. 3;59.95027;30.31646;Кто начал крепость?;На Заячьем острове стоит Петропавловская крепость — колыбель города.;Кто заложил первый камень этой твердыни?;"Пётр I царь-реформатор;Екатерина II императрица роскоши;Андрей Воронихин строитель храмов;Пётр III тень на троне";0;fact;Пётр I начал строительство в 1703 году чтобы защитить устье Невы.;RT-0001;Пётр I;"история;архитектура"
SD-0102-RU;False;ru;spb;Михайловский замок;59.93805;30.34223;Тень Павла I в замке;В Михайловском замке, где Павел I встретил свой конец в 1801 году, до сих пор витает его неспокойный дух. Говорят, в ночи слышен скрип шагов и шорох мантии — император бродит по залам, ища покоя. Тёмные коридоры хранят эхо заговора, что оборвал его жизнь. Загляни сюда в сумерках — вдруг его взгляд из окна коснётся тебя.;;;;legend;Павел I был убит заговорщиками в своей спальне.;RT-0012;Павел I;"мистика;императоры"
SD-0061-RU;False;ru;spb;Малая Морская улица;59.93319;30.30762;Призрак Достоевского над мостовой;На Малой Морской улице, в тумане сырого вечера, старожилы видят призрак Достоевского, что бродит меж домов. Его шаги звучат, как строки «Преступления и наказания», а взгляд ищет героев в тенях переулков. Легенда гласит, что он любил этот уголок за его мрачный дух. Вглядись в полумрак — не мелькнёт ли его фигура в плаще?;;;;legend;Достоевский черпал вдохновение в этих улицах.;RT-0020;Фёдор Достоевский;"мистика;литература"
QZ-010-RU;True;ru;moscow;Москва, Красная площадь;55.75390;37.62080;Тайна рождения площади;Красная площадь — сердце Москвы, что бьётся веками.;В каком веке она обрела свой облик, став символом столицы?;"XIV век время тёмных башен;XV век эпоха Ивана III;XVI век расцвет Кремля;XVII век годы смуты";2;fact;Красная площадь сформировалась в XVI веке после перестройки Кремля.;RT-0501;Иван III;"архитектура;Москва"
SD-0052-RU;False;ru;spb;Казанская площадь;59.93428;30.32442;Тайны Казанского собора;Казанский собор вознёс свои колонны над Петербургом, как страж веры и красоты. Его камни шепчут о замыслах Воронихина, что вплёл в них тайные знаки эпохи. Здесь молились цари, а ветер нёс их обеты к небу. Подойди к колоннаде — и найди в узорах отголоски прошлого.;;;;fact;Собор строился с 1801 по 1811 годы как символ победы.;RT-0005;Андрей Воронихин;"религия;архитектура"
SD-0052-RU;False;ru;spb;Казанская площадь;59.93428;30.32442;Тайны Казанского собора;Казанский собор — это не просто храм, а загадка, высеченная в камне над площадью. Его колонны хранят шёпот молитв и тайны мастера, что воздвиг их к облакам. Вечерами тут витает дух торжеств и побед, что видели эти стены. Встань у входа — и почувствуй, как время замирает.;;;;fact;Собор стал памятником победы над Наполеоном.;RT-0005;Андрей Воронихин;"религия;архитектура"
SD-0061-RU;False;ru;spb;Малая Морская улица;59.93319;30.30762;Призрак Достоевского на Малой Морской;В сумраке Малой Морской улицы бродит тень Достоевского, чьи шаги звучат, как эхо его тревожных строк. Говорят, он приходит сюда, где когда-то находил лица для своих романов, вглядываясь в прохожих. Местные клянутся, что слышали его шёпот в ветре. Остановись тут ночью — не услышишь ли ты его голос?;;;;legend;Этот район вдохновлял писателя на мрачные сюжеты.;RT-0002;Фёдор Достоевский;"мистика;литература"
SD-0102-RU;False;ru;spb;Михайловский замок;59.93805;30.34223;Призрак Павла I в Михайловском замке;В марте 1801 года в залах Михайловского замка оборвалась жизнь Павла I, и с тех пор его тень не покидает эти стены. Ночью тут слышны шаги, шорох плаща и тихий стон — будто император всё ещё ищет правду среди зеркал. Легенда гласит, что стража видела его силуэт у окна в роковые часы. Загляни сюда в полумраке — не мелькнёт ли его взгляд из прошлого?;;;;legend;Убийство Павла I стало одной из мрачных тайн русской истории.;RT-0004;Павел I;"мистика;императорская история"
SD-0144-RU;False;ru;spb;Невский проспект;59.93205;30.34685;Аничков мост — укротители времени;Аничков мост, перекинутый через Фонтанку в 1841 году, — старейший страж реки, украшенный бронзовыми укротителями коней работы Клодта. Его камни видели царей и революции, а кони, кажется, рвутся в вечность. Здесь шум воды сливается с гулом города, храня память о прошлом. Пройдись по мосту — и почувствуй, как он соединяет эпохи.;;;;fact;Скульптуры сделали мост символом мощи и красоты Петербурга.;RT-0006;Пётр Клодт;"архитектура;город"
